subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
3.0000 1.0000 2.0000 1.0000 -11.0000 8 1.0000 1.0000 0.6810 0.0000 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8095 3.3093 
3.0000 2.0000 -2.0000 1.0000 11.0000 2 -1.0000 1.0000 1.0940 0.0000 -8.0000 0.0000 4.0000 -4.0000 8.0000 -12.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8226 3.3091 
3.0000 3.0000 -4.0000 1.0000 11.0000 2 -1.0000 1.0000 0.6380 0.0000 -2.0000 -10.0000 -14.0000 6.0000 -6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9632 3.4592 
3.0000 4.0000 -4.0000 0.0000 11.0000 2 -1.0000 1.0000 0.7560 0.0000 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.3357 0.1968 0.2907 0.2405 0.1847 1.2483 1.8617 3.3744 
3.0000 5.0000 -2.0000 0.0000 11.0000 2 -1.0000 1.0000 0.7940 0.0000 -4.0000 4.0000 8.0000 -12.0000 0.0000 -8.0000 0.1740 0.3860 0.1961 0.2923 0.2090 1.2574 1.9420 3.4502 
3.0000 6.0000 -4.0000 1.0000 9.0000 2 -1.0000 1.0000 0.6870 0.0000 2.0000 -10.0000 -14.0000 6.0000 -6.0000 -2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8976 3.4092 
3.0000 7.0000 -2.0000 0.0000 -9.0000 8 1.0000 1.0000 0.7430 0.0000 8.0000 0.0000 -8.0000 4.0000 -12.0000 -4.0000 0.3245 0.2508 0.1727 0.3513 0.1532 1.2525 1.9222 3.4284 
3.0000 8.0000 0.0000 0.0000 7.0000 2 -1.0000 1.0000 2.2430 0.0000 -10.0000 -2.0000 6.0000 -6.0000 10.0000 2.0000 0.2014 0.3116 0.1958 0.2469 0.2984 1.2540 1.8334 3.3464 
3.0000 9.0000 0.0000 0.0000 5.0000 2 -1.0000 1.0000 0.6840 0.0000 6.0000 -2.0000 -6.0000 2.0000 -10.0000 10.0000 0.2544 0.1688 0.3685 0.1764 0.2742 1.2423 1.9127 3.4015 
3.0000 10.0000 2.0000 1.0000 -3.0000 8 1.0000 1.0000 1.3650 0.0000 -8.0000 0.0000 12.0000 -4.0000 8.0000 4.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7778 3.2758 
3.0000 11.0000 -2.0000 1.0000 -3.0000 8 1.0000 1.0000 1.5560 0.0000 4.0000 -4.0000 -8.0000 0.0000 -12.0000 8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9138 3.4092 
3.0000 12.0000 4.0000 1.0000 -3.0000 8 1.0000 1.0000 1.2460 0.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8665 3.3592 
3.0000 13.0000 -2.0000 0.0000 -3.0000 8 1.0000 1.0000 1.0390 0.0000 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.1992 0.2396 0.3538 0.2079 0.2571 1.2575 1.7959 3.3000 
3.0000 14.0000 -4.0000 1.0000 1.0000 2 -1.0000 1.0000 1.5440 0.0000 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9763 3.4759 
3.0000 15.0000 0.0000 1.0000 1.0000 8 1.0000 0.0000 1.2880 0.0000 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9026 3.3926 
3.0000 16.0000 4.0000 1.0000 1.0000 8 1.0000 0.0000 2.1360 0.0000 -6.0000 6.0000 10.0000 2.0000 14.0000 -2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9910 3.4925 
3.0000 17.0000 -2.0000 0.0000 -1.0000 8 1.0000 1.0000 1.0170 0.0000 -12.0000 -4.0000 4.0000 -8.0000 8.0000 0.0000 0.1597 0.2257 0.2975 0.1930 0.3706 1.2464 1.9966 3.5056 
3.0000 18.0000 0.0000 0.0000 0.0000 2 -1.0000 0.0000 3.2470 1.0000 6.0000 -2.0000 -6.0000 2.0000 -10.0000 10.0000 0.3498 0.2271 0.1702 0.3043 0.1904 1.2418 1.9333 3.4343 
3.0000 19.0000 2.0000 0.0000 -0.9900 8 1.0000 1.0000 0.7440 2.0000 -8.0000 4.0000 8.0000 0.0000 12.0000 -4.0000 0.1939 0.3486 0.2781 0.1828 0.2379 1.2413 1.8953 3.3840 
