subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
20.0000 1.0000 2.0000 1.0000 -11.0000 2 1.0000 1.0000 0.6400 0.0000 12.0000 0.0000 -8.0000 4.0000 -4.0000 8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9895 3.4925 
20.0000 2.0000 -4.0000 1.0000 11.0000 8 -1.0000 1.0000 0.5810 0.0000 -10.0000 -2.0000 2.0000 -6.0000 6.0000 -14.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9226 3.4259 
20.0000 3.0000 4.0000 0.0000 11.0000 8 -1.0000 1.0000 0.9010 0.0000 14.0000 6.0000 -6.0000 10.0000 -2.0000 2.0000 0.2545 0.1970 0.3625 0.2849 0.1564 1.2553 1.8487 3.3480 
20.0000 4.0000 -4.0000 0.0000 -11.0000 2 1.0000 1.0000 0.6500 0.0000 -10.0000 -2.0000 2.0000 -6.0000 6.0000 -14.0000 0.1930 0.3192 0.2389 0.1804 0.3274 1.2589 1.8331 3.3348 
20.0000 5.0000 4.0000 1.0000 9.0000 8 -1.0000 1.0000 0.8720 0.0000 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8097 3.3258 
20.0000 6.0000 0.0000 1.0000 -9.0000 2 1.0000 1.0000 0.6300 0.0000 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9968 3.5094 
20.0000 7.0000 4.0000 0.0000 9.0000 8 -1.0000 1.0000 0.8970 0.0000 -6.0000 6.0000 10.0000 2.0000 14.0000 -2.0000 0.2317 0.2617 0.2937 0.2674 0.1895 1.2440 1.9198 3.4197 
20.0000 8.0000 -2.0000 0.0000 7.0000 8 -1.0000 1.0000 1.0120 0.0000 4.0000 -8.0000 -12.0000 8.0000 -4.0000 0.0000 0.3344 0.2244 0.1569 0.2865 0.2514 1.2536 1.8847 3.3960 
20.0000 9.0000 4.0000 0.0000 5.0000 8 -1.0000 1.0000 2.9490 0.0000 14.0000 6.0000 -2.0000 10.0000 -6.0000 2.0000 0.3221 0.1568 0.2634 0.1948 0.3106 1.2477 1.7922 3.2904 
20.0000 10.0000 4.0000 1.0000 3.0000 2 1.0000 0.0000 1.0160 0.0000 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8112 3.3092 
20.0000 11.0000 -4.0000 1.0000 3.0000 8 -1.0000 1.0000 2.2010 0.0000 6.0000 -2.0000 -14.0000 2.0000 -10.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7883 3.2926 
20.0000 12.0000 2.0000 0.0000 3.0000 8 -1.0000 1.0000 3.3580 0.0000 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.3546 0.2025 0.3103 0.2250 0.1578 1.2503 1.7534 3.2595 
20.0000 13.0000 -4.0000 1.0000 -1.0000 2 1.0000 1.0000 0.7070 0.0000 2.0000 -6.0000 -10.0000 -2.0000 -14.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7675 3.2591 
