subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
6.0000 1.0000 4.0000 1.0000 11.0000 8 -1.0000 1.0000 1.7710 0.0000 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8340 3.3426 
6.0000 2.0000 0.0000 1.0000 -11.0000 2 1.0000 1.0000 1.0840 0.0000 -10.0000 -2.0000 10.0000 -6.0000 6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7690 3.2758 
6.0000 3.0000 -2.0000 1.0000 11.0000 8 -1.0000 1.0000 1.3300 0.0000 4.0000 -4.0000 -12.0000 0.0000 -8.0000 8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8356 3.3425 
6.0000 4.0000 -2.0000 0.0000 11.0000 8 -1.0000 1.0000 1.0190 0.0000 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.2392 0.3675 0.2386 0.1789 0.2340 1.2583 1.8532 3.3675 
6.0000 5.0000 -2.0000 1.0000 -11.0000 2 1.0000 1.0000 0.7700 0.0000 -4.0000 4.0000 8.0000 -12.0000 0.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8733 3.3759 
6.0000 6.0000 -4.0000 1.0000 11.0000 8 -1.0000 1.0000 1.9090 0.0000 -14.0000 -2.0000 2.0000 -6.0000 6.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9952 3.4926 
6.0000 7.0000 0.0000 0.0000 11.0000 8 -1.0000 1.0000 2.1150 0.0000 10.0000 -2.0000 -6.0000 2.0000 -10.0000 6.0000 0.1738 0.3350 0.2555 0.2934 0.1849 1.2426 1.9965 3.4853 
6.0000 8.0000 0.0000 1.0000 -9.0000 2 1.0000 1.0000 1.6050 0.0000 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8452 3.3424 
6.0000 9.0000 4.0000 1.0000 9.0000 8 -1.0000 1.0000 0.9950 0.0000 14.0000 2.0000 -6.0000 6.0000 -2.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8967 3.3926 
6.0000 10.0000 0.0000 1.0000 -9.0000 2 1.0000 1.0000 1.2820 0.0000 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9495 3.4427 
6.0000 11.0000 4.0000 1.0000 9.0000 8 -1.0000 1.0000 0.8040 0.0000 14.0000 6.0000 -2.0000 10.0000 -6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9314 3.4258 
