subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
2.0000 1.0000 1.0000 -1.8146 1.0000 1.2252 8 -1.0000 1.0000 4.5090 -11.8146 -3.8146 8.1854 -7.8146 4.1854 0.1854 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8430 3.3425 
2.0000 2.0000 1.0000 2.0042 1.0000 -4.2283 2 1.0000 1.0000 1.6150 12.0042 0.0042 -3.9958 4.0042 -7.9958 8.0042 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9013 3.4094 
2.0000 3.0000 1.0000 -1.2215 0.0000 4.7412 8 -1.0000 1.0000 2.2930 -3.2215 4.7785 8.7785 -11.2215 0.7785 -7.2215 0.3649 0.2080 0.1567 0.2306 0.2888 1.2490 1.9561 3.4584 
2.0000 4.0000 1.0000 -0.0650 1.0000 1.0488 8 -1.0000 1.0000 3.2860 -6.0650 5.9350 9.9350 -10.0650 1.9350 -2.0650 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7842 3.2926 
2.0000 5.0000 1.0000 -1.8440 0.0000 7.5682 8 -1.0000 1.0000 2.8330 -11.8440 0.1560 4.1560 -3.8440 8.1560 -7.8440 0.2013 0.3587 0.1604 0.3035 0.2183 1.2422 1.9367 3.4347 
2.0000 6.0000 1.0000 -2.2398 0.0000 2.5848 8 -1.0000 1.0000 2.7970 3.7602 -4.2398 -8.2398 -0.2398 -12.2398 7.7602 0.3299 0.1813 0.2575 0.1541 0.3276 1.2504 1.9507 3.4430 
2.0000 7.0000 1.0000 -2.9480 1.0000 -2.8242 2 1.0000 1.0000 1.6070 7.0520 -0.9480 -8.9480 3.0520 -12.9480 -4.9480 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8401 3.3427 
2.0000 8.0000 1.0000 1.6057 1.0000 0.5301 8 -1.0000 1.0000 1.1180 7.6057 -0.3943 -4.3943 3.6057 -8.3943 11.6057 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8041 3.2926 
2.0000 9.0000 1.0000 2.8226 0.0000 -4.7120 2 1.0000 1.0000 1.4980 -7.1774 4.8226 8.8226 0.8226 12.8226 -3.1774 0.2805 0.1630 0.2602 0.3228 0.2153 1.2419 1.9740 3.4512 
2.0000 10.0000 1.0000 2.7976 0.0000 2.9281 8 -1.0000 1.0000 1.6400 12.7976 4.7976 -3.2024 8.7976 -7.2024 0.7976 0.1655 0.2232 0.2881 0.3350 0.2296 1.2414 1.8735 3.3674 
2.0000 11.0000 1.0000 -2.9050 1.0000 -2.5063 NR 0.0000 0.0000 0.0000 -12.9050 -4.9050 3.0950 -8.9050 7.0950 -0.9050 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7803 3.2925 
2.0000 12.0000 1.0000 -3.3307 1.0000 1.2880 2 1.0000 0.0000 2.4810 2.6693 -5.3307 -9.3307 -1.3307 -13.3307 6.6693 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9236 3.4260 
2.0000 13.0000 1.0000 -3.5651 1.0000 1.7939 8 -1.0000 1.0000 1.5150 6.4349 -5.5651 -9.5651 -1.5651 -13.5651 2.4349 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7565 3.2591 
2.0000 14.0000 1.0000 3.6111 1.0000 -7.4678 2 1.0000 1.0000 1.2360 -2.3889 5.6111 13.6111 1.6111 9.6111 -6.3889 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7837 3.2757 
2.0000 15.0000 1.0000 1.6331 1.0000 -4.2131 2 1.0000 1.0000 1.1440 -0.3669 7.6331 11.6331 -8.3669 3.6331 -4.3669 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7983 3.2926 
2.0000 16.0000 1.0000 -2.7438 1.0000 1.2226 2 1.0000 0.0000 1.3120 7.2562 -4.7438 -12.7438 -0.7438 -8.7438 3.2562 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8183 3.3092 
2.0000 17.0000 1.0000 0.6081 1.0000 -1.4129 8 -1.0000 0.0000 2.6440 -5.3919 2.6081 10.6081 -1.3919 6.6081 -9.3919 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9335 3.4260 
2.0000 18.0000 1.0000 0.7976 1.0000 -1.2630 8 -1.0000 0.0000 2.8830 -5.2024 6.7976 10.7976 -9.2024 2.7976 -1.2024 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8670 3.3592 
2.0000 19.0000 1.0000 0.3105 1.0000 4.4197 8 -1.0000 1.0000 2.7630 -9.6895 2.3105 10.3105 -1.6895 6.3105 -5.6895 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8098 3.3258 
2.0000 20.0000 1.0000 -3.4917 0.0000 2.8412 8 -1.0000 1.0000 1.6200 -13.4917 -5.4917 6.5083 -9.4917 2.5083 -1.4917 0.2852 0.2184 0.1888 0.3706 0.1970 1.2600 1.8590 3.3692 
2.0000 21.0000 1.0000 -3.9524 0.0000 -5.5241 2 1.0000 1.0000 1.2200 -5.9524 2.0476 6.0476 -13.9524 -1.9524 -9.9524 0.2686 0.1521 0.2562 0.3295 0.2526 1.2591 1.9011 3.4183 
2.0000 22.0000 1.0000 -3.6577 1.0000 4.4358 8 -1.0000 1.0000 2.5260 -9.6577 2.3423 6.3423 -13.6577 -1.6577 -5.6577 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8452 3.3425 
2.0000 23.0000 1.0000 -0.5186 0.0000 -2.4655 8 -1.0000 0.0000 1.1510 -10.5186 1.4814 9.4814 -2.5186 5.4814 -6.5186 0.1848 0.2669 0.1605 0.2296 0.3988 1.2407 1.9046 3.4000 
2.0000 24.0000 1.0000 2.5880 1.0000 -4.6567 2 1.0000 1.0000 1.9920 8.5880 0.5880 -3.4120 4.5880 -7.4120 12.5880 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9554 3.4592 
2.0000 25.0000 1.0000 0.9230 1.0000 -4.6267 2 1.0000 1.0000 0.7340 6.9230 -1.0770 -5.0770 2.9230 -9.0770 10.9230 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9719 3.4760 
2.0000 26.0000 1.0000 -3.6966 0.0000 -0.5833 8 -1.0000 0.0000 1.9530 6.3034 -1.6966 -9.6966 2.3034 -13.6966 -5.6966 0.2407 0.3167 0.2371 0.1809 0.2666 1.2420 1.7600 3.2512 
2.0000 27.0000 1.0000 -3.6638 1.0000 5.8512 8 -1.0000 1.0000 1.0950 -13.6638 -5.6638 6.3362 -9.6638 2.3362 -1.6638 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8236 3.3258 
2.0000 28.0000 1.0000 -3.9900 1.0000 3.9813 8 -1.0000 1.0000 0.9700 -9.9900 2.0100 6.0100 -13.9900 -1.9900 -5.9900 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9791 3.4759 
2.0000 29.0000 1.0000 2.8116 1.0000 2.6833 8 -1.0000 1.0000 1.5530 12.8116 0.8116 -7.1884 4.8116 -3.1884 8.8116 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9425 3.4426 
2.0000 30.0000 1.0000 3.7649 0.0000 1.9839 8 -1.0000 1.0000 2.4010 13.7649 1.7649 -6.2351 5.7649 -2.2351 9.7649 0.2876 0.2357 0.1551 0.3111 0.2537 1.2433 1.9512 3.4527 
2.0000 31.0000 1.0000 1.4499 0.0000 -2.5044 2 1.0000 1.0000 0.9170 3.4499 -4.5501 -8.5501 11.4499 -0.5501 7.4499 0.1531 0.3608 0.1759 0.2302 0.3325 1.2524 1.8415 3.3449 
2.0000 32.0000 1.0000 -0.2596 1.0000 -0.7588 2 1.0000 1.0000 1.7260 9.7404 -2.2596 -10.2596 1.7404 -6.2596 5.7404 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9813 3.4760 
2.0000 33.0000 1.0000 -1.6351 1.0000 -3.3289 2 1.0000 1.0000 1.3120 8.3649 0.3649 -7.6351 4.3649 -11.6351 -3.6351 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9013 3.4092 
2.0000 34.0000 1.0000 0.9258 0.0000 4.5311 8 -1.0000 1.0000 1.0010 -5.0742 6.9258 10.9258 -9.0742 2.9258 -1.0742 0.2177 0.3578 0.1643 0.2888 0.2268 1.2555 1.8415 3.3480 
2.0000 35.0000 1.0000 0.8069 1.0000 -4.4687 2 1.0000 1.0000 1.7000 10.8069 -1.1931 -9.1931 2.8069 -5.1931 6.8069 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8285 3.3260 
2.0000 36.0000 1.0000 -2.5556 1.0000 -1.2433 2 1.0000 1.0000 1.0670 7.4444 -0.5556 -8.5556 3.4444 -12.5556 -4.5556 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8255 3.3259 
2.0000 37.0000 1.0000 -0.8753 1.0000 3.1911 8 -1.0000 1.0000 0.8080 -6.8753 5.1247 9.1247 -10.8753 1.1247 -2.8753 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9809 3.4760 
2.0000 38.0000 1.0000 1.6781 1.0000 3.3485 8 -1.0000 1.0000 2.0950 -0.3219 7.6781 11.6781 -8.3219 3.6781 -4.3219 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9593 3.4592 
2.0000 39.0000 1.0000 -1.2581 1.0000 -0.8645 8 -1.0000 0.0000 1.7870 4.7419 -3.2581 -7.2581 0.7419 -11.2581 8.7419 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9054 3.4093 
2.0000 40.0000 1.0000 0.1156 0.0000 3.6114 8 -1.0000 1.0000 1.3370 -5.8844 2.1156 6.1156 -1.8844 10.1156 -9.8844 0.1751 0.2299 0.3596 0.1901 0.2921 1.2468 1.7882 3.2893 
2.0000 41.0000 1.0000 1.2636 1.0000 -2.7933 2 1.0000 1.0000 1.2190 11.2636 -0.7364 -8.7364 3.2636 -4.7364 7.2636 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9041 3.4092 
2.0000 42.0000 1.0000 -2.2207 0.0000 5.5870 8 -1.0000 1.0000 3.3060 3.7793 -4.2207 -12.2207 -0.2207 -8.2207 7.7793 0.1791 0.2552 0.1610 0.2694 0.3878 1.2526 1.9729 3.4785 
2.0000 43.0000 1.0000 -3.8804 1.0000 -1.4301 2 1.0000 1.0000 2.4190 2.1196 -5.8804 -9.8804 -1.8804 -13.8804 6.1196 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7741 3.2759 
2.0000 44.0000 1.0000 -1.7418 0.0000 -1.4852 8 -1.0000 0.0000 4.1680 -7.7418 4.2582 8.2582 -11.7418 0.2582 -3.7418 0.1857 0.3456 0.2459 0.1993 0.2781 1.2546 1.8195 3.3139 
2.0000 45.0000 1.0000 -2.0751 0.0000 2.7590 2 1.0000 0.0000 3.9590 7.9249 -0.0751 -8.0751 3.9249 -12.0751 -4.0751 0.3350 0.1743 0.3455 0.2177 0.1822 1.2546 1.9873 3.4805 
2.0000 46.0000 1.0000 -2.0871 1.0000 -1.8795 8 -1.0000 0.0000 4.2220 -12.0871 -0.0871 3.9129 -4.0871 7.9129 -8.0871 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9281 3.4427 
2.0000 47.0000 1.0000 -2.8442 0.0000 -2.4370 2 1.0000 1.0000 2.3120 7.1558 -0.8442 -12.8442 3.1558 -8.8442 -4.8442 0.2447 0.3471 0.2846 0.1536 0.2296 1.2594 1.8183 3.3354 
2.0000 48.0000 1.0000 -1.0840 0.0000 -1.4600 2 1.0000 1.0000 2.8340 8.9160 0.9160 -7.0840 4.9160 -11.0840 -3.0840 0.2917 0.2199 0.2963 0.2473 0.1933 1.2485 1.7561 3.2576 
2.0000 49.0000 1.0000 2.0187 1.0000 -5.3849 2 1.0000 1.0000 1.6460 12.0187 0.0187 -7.9813 4.0187 -3.9813 8.0187 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7795 3.2759 
2.0000 50.0000 1.0000 0.9510 1.0000 2.5653 8 -1.0000 1.0000 1.6280 6.9510 -1.0490 -9.0490 2.9510 -5.0490 10.9510 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9697 3.4760 
2.0000 51.0000 1.0000 -3.2720 0.0000 4.0202 8 -1.0000 1.0000 1.4710 -9.2720 -1.2720 6.7280 -5.2720 2.7280 -13.2720 0.2315 0.3214 0.1689 0.2218 0.2982 1.2417 1.7933 3.2842 
2.0000 52.0000 1.0000 -2.5155 0.0000 -6.9575 2 1.0000 1.0000 2.1230 -12.5155 -4.5155 3.4845 -8.5155 7.4845 -0.5155 0.1794 0.3677 0.1665 0.2267 0.3123 1.2525 1.8151 3.3116 
2.0000 53.0000 1.0000 2.3148 1.0000 -2.3458 2 1.0000 1.0000 3.6770 -7.6852 4.3148 12.3148 0.3148 8.3148 -3.6852 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9719 3.4592 
2.0000 54.0000 1.0000 -0.8800 0.0000 0.6324 2 1.0000 0.0000 4.5620 -6.8800 1.1200 9.1200 -2.8800 5.1200 -10.8800 0.1608 0.2245 0.2684 0.2359 0.3572 1.2468 1.7857 3.2726 
2.0000 55.0000 1.0000 -2.1235 0.0000 -7.0319 2 1.0000 1.0000 2.5650 -8.1235 3.8765 7.8765 -12.1235 -0.1235 -4.1235 0.2227 0.1775 0.3711 0.2955 0.1791 1.2459 1.8092 3.3051 
2.0000 56.0000 1.0000 1.3478 1.0000 -6.7720 2 1.0000 1.0000 1.4200 11.3478 3.3478 -8.6522 7.3478 -4.6522 -0.6522 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8434 3.3425 
2.0000 57.0000 1.0000 0.8706 1.0000 -3.9384 8 -1.0000 0.0000 2.8530 10.8706 -1.1294 -5.1294 2.8706 -9.1294 6.8706 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8921 3.3925 
2.0000 58.0000 1.0000 -3.6964 1.0000 5.8205 8 -1.0000 1.0000 2.0780 -13.6964 -1.6964 2.3036 -5.6964 6.3036 -9.6964 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9864 3.4925 
2.0000 59.0000 1.0000 1.0727 1.0000 4.2445 8 -1.0000 1.0000 2.3420 11.0727 3.0727 -8.9273 7.0727 -4.9273 -0.9273 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8594 3.3594 
2.0000 60.0000 1.0000 0.5752 1.0000 -6.4747 2 1.0000 1.0000 0.9470 2.5752 -5.4248 -9.4248 10.5752 -1.4248 6.5752 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8612 3.3593 
