subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
8.0000 1.0000 -4.0000 0.0000 11.0000 8 -1.0000 1.0000 0.8980 0.0000 6.0000 -2.0000 -14.0000 2.0000 -10.0000 -6.0000 0.1513 0.2129 0.3176 0.2555 0.3076 1.2449 1.7598 3.2540 
8.0000 2.0000 2.0000 0.0000 -11.0000 2 1.0000 1.0000 0.7010 0.0000 -8.0000 4.0000 8.0000 0.0000 12.0000 -4.0000 0.3350 0.1743 0.3455 0.2177 0.1822 1.2546 1.9873 3.4972 
8.0000 3.0000 2.0000 1.0000 -9.0000 2 1.0000 1.0000 1.1210 0.0000 0.0000 8.0000 12.0000 -8.0000 4.0000 -4.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8414 3.3425 
8.0000 4.0000 2.0000 1.0000 9.0000 8 -1.0000 1.0000 0.7820 0.0000 12.0000 4.0000 -8.0000 8.0000 -4.0000 0.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8380 3.3425 
8.0000 5.0000 0.0000 1.0000 9.0000 8 -1.0000 1.0000 1.6180 0.0000 -6.0000 2.0000 6.0000 -2.0000 10.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7882 3.2924 
8.0000 6.0000 -4.0000 0.0000 -9.0000 2 1.0000 1.0000 2.8660 0.0000 -10.0000 2.0000 6.0000 -14.0000 -2.0000 -6.0000 0.3383 0.1828 0.3302 0.1563 0.2512 1.2587 1.9645 3.4680 
8.0000 7.0000 2.0000 1.0000 -7.0000 2 1.0000 1.0000 0.7710 0.0000 12.0000 4.0000 -4.0000 8.0000 -8.0000 0.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7690 3.2592 
8.0000 8.0000 2.0000 0.0000 -7.0000 2 1.0000 1.0000 1.1020 0.0000 -8.0000 4.0000 8.0000 0.0000 12.0000 -4.0000 0.1723 0.2352 0.2752 0.1829 0.3914 1.2570 1.8521 3.3496 
8.0000 9.0000 0.0000 1.0000 5.0000 8 -1.0000 1.0000 1.0050 0.0000 6.0000 -2.0000 -6.0000 2.0000 -10.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9721 3.4592 
8.0000 10.0000 -2.0000 0.0000 5.0000 8 -1.0000 1.0000 0.9240 0.0000 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.1781 0.3016 0.2199 0.1788 0.3683 1.2468 1.9173 3.4060 
8.0000 11.0000 -2.0000 0.0000 3.0000 2 1.0000 0.0000 1.6250 1.0000 8.0000 0.0000 -12.0000 4.0000 -8.0000 -4.0000 0.1685 0.2468 0.3887 0.1560 0.2978 1.2578 1.9711 3.4838 
8.0000 12.0000 2.0000 1.0000 3.9900 8 -1.0000 1.0000 0.8420 1.0000 -8.0000 0.0000 8.0000 -4.0000 12.0000 4.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7964 3.3092 
8.0000 13.0000 2.0000 1.0000 -3.9900 2 1.0000 1.0000 0.7500 1.0000 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8612 3.3592 
8.0000 14.0000 0.0000 0.0000 3.9900 8 -1.0000 1.0000 1.3790 2.0000 6.0000 -2.0000 -10.0000 2.0000 -6.0000 10.0000 0.3160 0.2128 0.1741 0.3438 0.2068 1.2536 1.9796 3.4795 
8.0000 15.0000 2.0000 0.0000 3.6600 2 1.0000 0.0000 2.4600 3.0000 8.0000 0.0000 -8.0000 4.0000 -4.0000 12.0000 0.1656 0.3798 0.1961 0.2672 0.2407 1.2493 1.8701 3.3751 
8.0000 16.0000 2.0000 0.0000 -4.6500 2 1.0000 1.0000 1.2630 4.0000 -4.0000 4.0000 8.0000 0.0000 12.0000 -8.0000 0.1887 0.3639 0.2856 0.1854 0.2361 1.2596 1.8928 3.4023 
8.0000 17.0000 0.0000 1.0000 4.3200 8 -1.0000 1.0000 0.9200 4.0000 -10.0000 -2.0000 6.0000 -6.0000 10.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8929 3.3926 
8.0000 18.0000 -2.0000 1.0000 -4.3200 2 1.0000 1.0000 3.4050 4.0000 8.0000 -4.0000 -8.0000 0.0000 -12.0000 4.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8361 3.3258 
8.0000 19.0000 -2.0000 0.0000 -4.3200 2 1.0000 1.0000 0.7340 4.0000 4.0000 -8.0000 -12.0000 8.0000 -4.0000 0.0000 0.1501 0.2739 0.1637 0.2921 0.3667 1.2465 1.9888 3.4891 
8.0000 20.0000 -4.0000 1.0000 3.9900 8 -1.0000 1.0000 1.9960 4.0000 -14.0000 -2.0000 2.0000 -6.0000 6.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9864 3.4759 
8.0000 21.0000 -4.0000 1.0000 3.9900 2 1.0000 0.0000 1.5990 4.0000 -2.0000 -10.0000 -14.0000 6.0000 -6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9831 3.4758 
8.0000 22.0000 0.0000 0.0000 3.9900 2 1.0000 0.0000 1.6490 5.0000 -6.0000 2.0000 6.0000 -2.0000 10.0000 -10.0000 0.2889 0.1655 0.2439 0.3879 0.1720 1.2581 1.9763 3.4841 
8.0000 23.0000 -2.0000 1.0000 -4.9800 2 1.0000 1.0000 0.7550 5.0000 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9773 3.4760 
8.0000 24.0000 4.0000 1.0000 4.9800 2 1.0000 0.0000 1.5790 5.0000 10.0000 -2.0000 -6.0000 14.0000 2.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8554 3.3593 
8.0000 25.0000 4.0000 0.0000 4.9800 8 -1.0000 1.0000 3.2570 6.0000 -2.0000 10.0000 14.0000 -6.0000 6.0000 2.0000 0.3718 0.1839 0.2211 0.1546 0.3111 1.2425 1.9241 3.4185 
8.0000 26.0000 -4.0000 1.0000 4.6500 8 -1.0000 1.0000 1.7970 6.0000 -10.0000 2.0000 6.0000 -14.0000 -2.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8687 3.3760 
8.0000 27.0000 4.0000 0.0000 -4.6500 2 1.0000 1.0000 1.4550 6.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.2529 0.3146 0.2311 0.1878 0.2608 1.2472 1.9941 3.4899 
8.0000 28.0000 -2.0000 1.0000 -4.3200 2 1.0000 1.0000 0.8320 6.0000 -12.0000 0.0000 8.0000 -4.0000 4.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9726 3.4760 
8.0000 29.0000 -4.0000 0.0000 4.3200 8 -1.0000 1.0000 2.5730 6.0000 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.2852 0.2236 0.1500 0.3888 0.1967 1.2443 1.9242 3.4201 
8.0000 30.0000 2.0000 1.0000 -3.9900 2 1.0000 1.0000 1.7220 6.0000 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9083 3.4094 
8.0000 31.0000 0.0000 1.0000 -3.9900 2 1.0000 1.0000 2.2330 6.0000 -6.0000 2.0000 10.0000 -2.0000 6.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9470 3.4425 
8.0000 32.0000 -4.0000 1.0000 3.9900 2 1.0000 0.0000 0.9860 6.0000 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7752 3.2758 
8.0000 33.0000 4.0000 0.0000 3.9900 2 1.0000 0.0000 1.2220 7.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.2126 0.1733 0.3462 0.1540 0.3587 1.2448 1.7673 3.2706 
8.0000 34.0000 2.0000 0.0000 -4.9800 2 1.0000 1.0000 1.0220 8.0000 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.1648 0.3345 0.2488 0.2042 0.2990 1.2513 1.7844 3.2937 
8.0000 35.0000 -4.0000 0.0000 4.6500 8 -1.0000 1.0000 2.0570 8.0000 -14.0000 -2.0000 2.0000 -6.0000 6.0000 -10.0000 0.3001 0.2008 0.3209 0.1879 0.2326 1.2423 1.9435 3.4351 
8.0000 36.0000 2.0000 0.0000 -4.3200 2 1.0000 1.0000 0.8900 8.0000 0.0000 8.0000 12.0000 -8.0000 4.0000 -4.0000 0.2219 0.1829 0.2779 0.3334 0.2291 1.2452 1.7658 3.2712 
8.0000 37.0000 -4.0000 1.0000 3.9900 2 1.0000 0.0000 1.9620 8.0000 -2.0000 -10.0000 -14.0000 6.0000 -6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9601 3.4592 
8.0000 38.0000 -2.0000 0.0000 -3.9900 2 1.0000 1.0000 0.5920 8.0000 -4.0000 4.0000 8.0000 -12.0000 0.0000 -8.0000 0.2739 0.1521 0.2858 0.2478 0.2879 1.2475 1.9128 3.4069 
8.0000 39.0000 -4.0000 0.0000 3.6600 8 -1.0000 1.0000 1.1760 8.0000 -10.0000 -2.0000 6.0000 -6.0000 2.0000 -14.0000 0.2162 0.2676 0.2022 0.1693 0.3852 1.2405 1.8805 3.3663 
8.0000 40.0000 -2.0000 0.0000 -3.3300 2 1.0000 1.0000 1.3770 8.0000 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.2793 0.1625 0.3772 0.1792 0.2562 1.2544 1.9014 3.3969 
8.0000 41.0000 2.0000 0.0000 -3.0000 2 1.0000 1.0000 2.1960 8.0000 0.0000 8.0000 12.0000 -8.0000 4.0000 -4.0000 0.2012 0.3127 0.2091 0.3366 0.1811 1.2408 1.8641 3.3500 
8.0000 42.0000 4.0000 1.0000 2.6700 2 1.0000 0.0000 0.6850 8.0000 14.0000 6.0000 -6.0000 10.0000 -2.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7747 3.2759 
8.0000 43.0000 4.0000 1.0000 2.6700 2 1.0000 0.0000 2.5090 8.0000 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7831 3.2759 
8.0000 44.0000 -4.0000 1.0000 -2.6700 2 1.0000 1.0000 0.7600 8.0000 6.0000 -2.0000 -14.0000 2.0000 -10.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8249 3.3258 
8.0000 45.0000 4.0000 0.0000 2.6700 8 -1.0000 1.0000 2.9890 8.0000 -2.0000 10.0000 14.0000 -6.0000 6.0000 2.0000 0.3086 0.2025 0.2460 0.1793 0.3210 1.2575 1.9278 3.4334 
8.0000 46.0000 -2.0000 0.0000 -2.3400 2 1.0000 1.0000 2.0020 8.0000 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.2068 0.3780 0.1568 0.3246 0.1928 1.2590 1.8961 3.4017 
8.0000 47.0000 -2.0000 1.0000 2.0100 8 -1.0000 1.0000 2.9120 8.0000 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9088 3.4092 
8.0000 48.0000 0.0000 1.0000 2.0100 8 -1.0000 1.0000 1.4500 8.0000 10.0000 -2.0000 -6.0000 2.0000 -10.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8528 3.3592 
8.0000 49.0000 -4.0000 1.0000 -2.0100 2 1.0000 1.0000 1.8060 8.0000 6.0000 -6.0000 -10.0000 -2.0000 -14.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9439 3.4427 
8.0000 50.0000 2.0000 1.0000 -2.0100 2 1.0000 1.0000 2.2980 8.0000 8.0000 0.0000 -8.0000 4.0000 -4.0000 12.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8955 3.3926 
8.0000 51.0000 0.0000 1.0000 2.0100 2 1.0000 0.0000 1.8830 8.0000 -10.0000 -2.0000 10.0000 -6.0000 6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7542 3.2425 
8.0000 52.0000 -2.0000 1.0000 -2.0100 2 1.0000 1.0000 0.9420 8.0000 4.0000 -8.0000 -12.0000 8.0000 -4.0000 0.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9114 3.4092 
8.0000 53.0000 -2.0000 0.0000 -2.0100 2 1.0000 1.0000 1.2780 8.0000 8.0000 0.0000 -8.0000 4.0000 -12.0000 -4.0000 0.1779 0.3169 0.1822 0.2505 0.3203 1.2479 1.8783 3.3737 
8.0000 54.0000 4.0000 1.0000 1.6800 8 -1.0000 1.0000 2.1330 8.0000 -6.0000 6.0000 14.0000 2.0000 10.0000 -2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9447 3.4593 
8.0000 55.0000 -4.0000 0.0000 -1.6800 8 -1.0000 0.0000 1.4900 9.0000 2.0000 -10.0000 -14.0000 6.0000 -6.0000 -2.0000 0.2057 0.1617 0.3050 0.2728 0.3020 1.2471 1.9734 3.4730 
8.0000 56.0000 0.0000 1.0000 2.6700 8 -1.0000 1.0000 2.6100 9.0000 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7624 3.2591 
8.0000 57.0000 -4.0000 0.0000 -2.6700 2 1.0000 1.0000 0.6400 10.0000 -10.0000 -2.0000 2.0000 -6.0000 6.0000 -14.0000 0.2380 0.1718 0.2778 0.3558 0.2059 1.2492 1.8996 3.4084 
