subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
15.0000 1.0000 2.0000 0.0000 11.0000 2 -1.0000 1.0000 2.3120 0.0000 8.0000 0.0000 -8.0000 4.0000 -4.0000 12.0000 0.2231 0.1510 0.2860 0.2431 0.3545 1.2578 1.7708 3.2836 
15.0000 2.0000 -2.0000 0.0000 11.0000 2 -1.0000 1.0000 0.8950 0.0000 8.0000 -4.0000 -12.0000 0.0000 -8.0000 4.0000 0.3718 0.1839 0.2211 0.1546 0.3111 1.2425 1.9241 3.4183 
15.0000 3.0000 -4.0000 1.0000 9.0000 2 -1.0000 1.0000 1.6490 0.0000 -10.0000 2.0000 6.0000 -14.0000 -2.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8687 3.3758 
15.0000 4.0000 4.0000 0.0000 -9.0000 2 -1.0000 0.0000 1.4890 1.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.2529 0.3146 0.2311 0.1878 0.2608 1.2472 1.9941 3.4897 
15.0000 5.0000 -2.0000 1.0000 -9.9900 2 -1.0000 0.0000 1.6810 1.0000 -12.0000 0.0000 8.0000 -4.0000 4.0000 -8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9726 3.4758 
15.0000 6.0000 -4.0000 0.0000 9.9900 2 -1.0000 1.0000 1.2750 2.0000 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.2852 0.2236 0.1500 0.3888 0.1967 1.2443 1.9242 3.4203 
15.0000 7.0000 2.0000 1.0000 -9.6600 2 -1.0000 0.0000 1.0200 2.0000 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9083 3.4093 
15.0000 8.0000 0.0000 1.0000 -9.6600 2 -1.0000 0.0000 1.2740 2.0000 -6.0000 2.0000 10.0000 -2.0000 6.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9470 3.4427 
15.0000 9.0000 -4.0000 1.0000 9.6600 2 -1.0000 1.0000 1.3780 2.0000 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7752 3.2757 
15.0000 10.0000 4.0000 0.0000 9.6600 2 -1.0000 1.0000 1.9250 2.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.2126 0.1733 0.3462 0.1540 0.3587 1.2448 1.7673 3.2539 
15.0000 11.0000 2.0000 0.0000 -9.3300 8 1.0000 1.0000 2.1530 2.0000 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.1648 0.3345 0.2488 0.2042 0.2990 1.2513 1.7844 3.2938 
15.0000 12.0000 -4.0000 0.0000 9.0000 2 -1.0000 1.0000 2.9190 2.0000 -14.0000 -2.0000 2.0000 -6.0000 6.0000 -10.0000 0.3001 0.2008 0.3209 0.1879 0.2326 1.2423 1.9435 3.4349 
15.0000 13.0000 2.0000 0.0000 -8.6700 8 1.0000 1.0000 1.1970 2.0000 0.0000 8.0000 12.0000 -8.0000 4.0000 -4.0000 0.2219 0.1829 0.2779 0.3334 0.2291 1.2452 1.7658 3.2711 
15.0000 14.0000 -4.0000 1.0000 8.3400 2 -1.0000 1.0000 1.4150 2.0000 -2.0000 -10.0000 -14.0000 6.0000 -6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9601 3.4593 
15.0000 15.0000 -2.0000 0.0000 -8.3400 8 1.0000 1.0000 0.8520 2.0000 -4.0000 4.0000 8.0000 -12.0000 0.0000 -8.0000 0.2739 0.1521 0.2858 0.2478 0.2879 1.2475 1.9128 3.4067 
15.0000 16.0000 -4.0000 0.0000 8.0100 2 -1.0000 1.0000 0.9000 2.0000 -10.0000 -2.0000 6.0000 -6.0000 2.0000 -14.0000 0.2162 0.2676 0.2022 0.1693 0.3852 1.2405 1.8805 3.3663 
15.0000 17.0000 -2.0000 0.0000 -7.6800 8 1.0000 1.0000 3.2120 2.0000 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.2793 0.1625 0.3772 0.1792 0.2562 1.2544 1.9014 3.3971 
15.0000 18.0000 2.0000 0.0000 -7.3500 2 -1.0000 0.0000 1.8280 3.0000 0.0000 8.0000 12.0000 -8.0000 4.0000 -4.0000 0.2012 0.3127 0.2091 0.3366 0.1811 1.2408 1.8641 3.3502 
15.0000 19.0000 4.0000 1.0000 8.3400 2 -1.0000 1.0000 0.8460 3.0000 14.0000 6.0000 -6.0000 10.0000 -2.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7747 3.2758 
15.0000 20.0000 4.0000 1.0000 8.3400 2 -1.0000 1.0000 2.0570 3.0000 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7831 3.2758 
15.0000 21.0000 -4.0000 1.0000 -8.3400 8 1.0000 1.0000 1.2120 3.0000 6.0000 -2.0000 -14.0000 2.0000 -10.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8249 3.3259 
15.0000 22.0000 4.0000 0.0000 8.3400 2 -1.0000 1.0000 3.9600 4.0000 -2.0000 10.0000 14.0000 -6.0000 6.0000 2.0000 0.3086 0.2025 0.2460 0.1793 0.3210 1.2575 1.9278 3.4500 
15.0000 23.0000 -2.0000 0.0000 -8.0100 2 -1.0000 0.0000 1.4930 5.0000 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.2068 0.3780 0.1568 0.3246 0.1928 1.2590 1.8961 3.4016 
15.0000 24.0000 -2.0000 1.0000 9.0000 2 -1.0000 1.0000 1.4300 5.0000 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9088 3.4093 
