subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
3.0000 1.0000 1.0000 3.3070 1.0000 5.6232 2 -1.0000 1.0000 2.2540 9.3070 1.3070 -2.6930 5.3070 -6.6930 13.3070 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8377 3.3425 
3.0000 2.0000 1.0000 -2.0807 1.0000 4.5090 2 -1.0000 1.0000 0.8850 -12.0807 -0.0807 3.9193 -4.0807 7.9193 -8.0807 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8875 3.3759 
3.0000 3.0000 1.0000 -1.5900 1.0000 4.3482 2 -1.0000 1.0000 0.5990 0.4100 -7.5900 -11.5900 8.4100 -3.5900 4.4100 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7606 3.2592 
3.0000 4.0000 1.0000 2.5452 0.0000 5.1082 2 -1.0000 1.0000 1.2820 -7.4548 4.5452 8.5452 0.5452 12.5452 -3.4548 0.2898 0.3635 0.2370 0.1636 0.1943 1.2481 1.9157 3.4074 
3.0000 5.0000 1.0000 3.9073 0.0000 6.9924 2 -1.0000 1.0000 1.2930 9.9073 1.9073 -2.0927 5.9073 -6.0927 13.9073 0.1525 0.3608 0.1607 0.2445 0.3261 1.2446 1.9324 3.4370 
3.0000 6.0000 1.0000 -0.1801 0.0000 -1.5381 8 1.0000 1.0000 2.2980 -10.1801 1.8199 9.8199 -2.1801 5.8199 -6.1801 0.2204 0.3278 0.2977 0.1619 0.2372 1.2449 1.8628 3.3708 
3.0000 7.0000 1.0000 -1.7479 0.0000 -4.8602 8 1.0000 1.0000 1.4990 -11.7479 0.2521 4.2521 -3.7479 8.2521 -7.7479 0.2143 0.2562 0.1798 0.2738 0.3266 1.2507 1.8109 3.3100 
3.0000 8.0000 1.0000 -3.9728 1.0000 0.5741 2 -1.0000 1.0000 1.5260 -13.9728 -1.9728 2.0272 -5.9728 6.0272 -9.9728 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9700 3.4759 
3.0000 9.0000 1.0000 -0.5026 0.0000 -3.5602 2 -1.0000 0.0000 1.3820 -10.5026 -2.5026 5.4974 -6.5026 9.4974 1.4974 0.3806 0.1634 0.2818 0.1797 0.2450 1.2505 1.9532 3.4596 
3.0000 10.0000 1.0000 -0.9748 0.0000 -4.1533 8 1.0000 1.0000 2.0410 9.0252 1.0252 -6.9748 5.0252 -10.9748 -2.9748 0.3044 0.2034 0.3114 0.2452 0.1759 1.2403 1.8444 3.3330 
3.0000 11.0000 1.0000 0.1834 0.0000 -0.7413 2 -1.0000 0.0000 2.9950 -9.8166 2.1834 6.1834 -1.8166 10.1834 -5.8166 0.3006 0.3359 0.2463 0.2129 0.1592 1.2549 1.8680 3.3640 
3.0000 12.0000 1.0000 -1.6199 1.0000 -3.1159 8 1.0000 1.0000 1.7200 -11.6199 -3.6199 8.3801 -7.6199 4.3801 0.3801 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7639 3.2592 
3.0000 13.0000 1.0000 3.2046 0.0000 3.9326 2 -1.0000 1.0000 1.6240 -2.7954 5.2046 13.2046 1.2046 9.2046 -6.7954 0.2151 0.1712 0.2245 0.3793 0.2676 1.2578 1.8174 3.3171 
3.0000 14.0000 1.0000 3.0399 1.0000 7.6330 2 -1.0000 1.0000 1.3330 -6.9601 5.0399 13.0399 1.0399 9.0399 -2.9601 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7800 3.2758 
3.0000 15.0000 1.0000 3.6313 1.0000 -2.6439 2 -1.0000 0.0000 1.7090 -2.3687 9.6313 13.6313 -6.3687 5.6313 1.6313 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7691 3.2757 
3.0000 16.0000 1.0000 3.3647 0.0000 0.6657 8 1.0000 0.0000 2.4660 13.3647 5.3647 -2.6353 9.3647 -6.6353 1.3647 0.3010 0.3816 0.1792 0.2352 0.1592 1.2562 1.8846 3.3988 
3.0000 17.0000 1.0000 -3.2147 1.0000 0.6812 8 1.0000 0.0000 2.1390 -1.2147 -9.2147 -13.2147 6.7853 -5.2147 2.7853 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7570 3.2592 
3.0000 18.0000 1.0000 -3.0466 1.0000 -5.6206 8 1.0000 1.0000 1.8820 6.9534 -5.0466 -13.0466 -1.0466 -9.0466 2.9534 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8401 3.3426 
3.0000 19.0000 1.0000 -0.2544 1.0000 7.4766 2 -1.0000 1.0000 1.2580 -10.2544 1.7456 9.7456 -2.2544 5.7456 -6.2544 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8156 3.3092 
3.0000 20.0000 1.0000 -0.5826 1.0000 -2.4122 8 1.0000 1.0000 1.9420 -6.5826 5.4174 9.4174 -10.5826 1.4174 -2.5826 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9914 3.4926 
3.0000 21.0000 1.0000 2.0744 1.0000 -1.4934 8 1.0000 1.0000 3.2630 -7.9256 4.0744 8.0744 0.0744 12.0744 -3.9256 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9054 3.4094 
3.0000 22.0000 1.0000 3.8568 1.0000 2.2123 2 -1.0000 1.0000 4.1970 -2.1432 5.8568 13.8568 1.8568 9.8568 -6.1432 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8744 3.3758 
3.0000 23.0000 1.0000 2.8391 0.0000 2.0471 8 1.0000 0.0000 2.5200 12.8391 4.8391 -3.1609 8.8391 -7.1609 0.8391 0.3675 0.1500 0.3200 0.2530 0.1567 1.2471 1.8563 3.3397 
3.0000 24.0000 1.0000 0.8903 0.0000 -0.5431 8 1.0000 1.0000 2.3030 -9.1097 -1.1097 6.8903 -5.1097 10.8903 2.8903 0.1927 0.3364 0.1745 0.3726 0.1705 1.2467 1.9454 3.4561 
3.0000 25.0000 1.0000 -1.1642 1.0000 -0.9509 8 1.0000 1.0000 1.7690 -3.1642 4.8358 8.8358 -11.1642 0.8358 -7.1642 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7857 3.2925 
3.0000 26.0000 1.0000 -1.8146 1.0000 1.2252 8 1.0000 0.0000 2.0760 -11.8146 -3.8146 8.1854 -7.8146 4.1854 0.1854 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8430 3.3425 
