subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
24.0000 1.0000 -2.0000 0.0000 -11.0000 2 1.0000 1.0000 2.8250 0.0000 8.0000 0.0000 -8.0000 4.0000 -12.0000 -4.0000 0.3231 0.1544 0.2554 0.3703 0.1504 1.2536 1.8752 3.3795 
24.0000 2.0000 -4.0000 1.0000 11.0000 8 -1.0000 1.0000 2.0830 0.0000 2.0000 -10.0000 -14.0000 6.0000 -6.0000 -2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9446 3.4426 
24.0000 3.0000 0.0000 1.0000 11.0000 8 -1.0000 1.0000 2.0680 0.0000 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9547 3.4592 
24.0000 4.0000 -4.0000 0.0000 11.0000 8 -1.0000 1.0000 1.4340 0.0000 -10.0000 -2.0000 6.0000 -6.0000 2.0000 -14.0000 0.2613 0.2976 0.2610 0.1683 0.2621 1.2502 1.9769 3.4761 
24.0000 5.0000 -4.0000 1.0000 -9.0000 2 1.0000 1.0000 1.5070 0.0000 6.0000 -2.0000 -14.0000 2.0000 -10.0000 -6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7969 3.2925 
24.0000 6.0000 2.0000 1.0000 9.0000 8 -1.0000 1.0000 1.5000 0.0000 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9158 3.4092 
24.0000 7.0000 4.0000 1.0000 9.0000 8 -1.0000 1.0000 3.2020 0.0000 -2.0000 10.0000 14.0000 -6.0000 6.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8260 3.3260 
24.0000 8.0000 -2.0000 0.0000 9.0000 8 -1.0000 1.0000 1.2470 0.0000 -12.0000 -4.0000 4.0000 -8.0000 8.0000 0.0000 0.3069 0.1547 0.3545 0.2344 0.1943 1.2448 1.8182 3.3205 
24.0000 9.0000 4.0000 1.0000 -7.0000 2 1.0000 1.0000 1.8680 0.0000 14.0000 2.0000 -6.0000 6.0000 -2.0000 10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9146 3.4260 
24.0000 10.0000 -2.0000 0.0000 7.0000 8 -1.0000 1.0000 1.5160 0.0000 8.0000 0.0000 -8.0000 4.0000 -12.0000 -4.0000 0.1530 0.2753 0.3631 0.2752 0.1780 1.2446 1.9479 3.4371 
24.0000 11.0000 -4.0000 1.0000 5.0000 8 -1.0000 1.0000 1.9060 0.0000 -6.0000 2.0000 6.0000 -14.0000 -2.0000 -10.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9800 3.4760 
