subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
7.0000 22.0000 1.0000 -2.0000 0.0000 -7.3350 8 1.0000 1.0000 1.4500 8.0000 -4.0000 -8.0000 0.0000 -12.0000 4.0000 0.1728 0.3427 0.3003 0.2436 0.1817 1.2412 1.9186 3.4172 
7.0000 60.0000 1.0000 4.0000 1.0000 0.0000 8 1.0000 0.0000 1.6640 10.0000 -2.0000 -6.0000 14.0000 2.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.8279 3.3259 
7.0000 2.0000 1.0000 -4.0000 1.0000 -4.8900 8 1.0000 1.0000 1.7720 6.0000 -6.0000 -10.0000 -2.0000 -14.0000 2.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9061 3.4092 
7.0000 38.0000 1.0000 0.0000 0.0000 -2.4450 2 -1.0000 0.0000 1.6230 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.2036 0.3048 0.1908 0.2317 0.3253 1.2561 1.7985 3.2987 
7.0000 33.0000 1.0000 0.0000 1.0000 2.4450 2 -1.0000 1.0000 1.2740 2.0000 -6.0000 -10.0000 10.0000 -2.0000 6.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.7677 3.2591 
7.0000 48.0000 1.0000 2.0000 1.0000 4.8900 2 -1.0000 1.0000 1.3540 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.2500 0.2500 0.2500 0.2500 0.2500 1.2500 1.9464 3.4426 
7.0000 26.0000 1.0000 -2.0000 0.0000 2.4450 8 1.0000 0.0000 1.7700 8.0000 -4.0000 -12.0000 0.0000 -8.0000 4.0000 0.3054 0.2406 0.2077 0.2906 0.2136 1.2579 1.9205 3.4171 
7.0000 12.0000 1.0000 -4.0000 0.0000 2.4450 2 -1.0000 1.0000 1.7610 2.0000 -6.0000 -10.0000 -2.0000 -14.0000 6.0000 0.3224 0.2705 0.1593 0.2035 0.2860 1.2417 1.9121 3.4010 
7.0000 52.0000 1.0000 2.0000 0.0000 -2.4450 8 1.0000 1.0000 1.7570 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.1737 0.3399 0.1973 0.2300 0.3058 1.2468 1.7731 3.2727 
7.0000 53.0000 1.0000 2.0000 0.0000 0.0000 8 1.0000 0.0000 1.1920 12.0000 4.0000 -4.0000 8.0000 -8.0000 0.0000 0.2533 0.2112 0.3233 0.2743 0.1780 1.2400 1.8302 3.3327 
