"","subNo","periodicity","th.modelfree","th.dg.estimate","th.glm.estimate","sl.modelfree","sl.dg.estimate","sl.glm.estimate","B0.original","B0.bootBias","B0.bootSE","B0.bootMEAN","B1.original","B1.bootBias","B1.bootSE","B1.bootMEAN","thresh.95.c.int.1","thresh.95.c.int.2","slope.95.c.int.1","slope.95.c.int.2","boot.thresh","boot.slope"
"1","1","periodic",-1.8036036036036,-1.80636522668829,-1.80636522668829,0.12827209452574,-0.128272396640719,0.321531552981748,0.580803416589312,0.0154202213960234,0.136212091267523,0.596223637985336,0.321531552981748,0.00866489484086702,0.0409464999030241,0.330196447822615,0.298412402050061,0.832353988336516,0.232612993037981,0.393120323243781,-1.80566339195034,0.330196447822615
"2","1","aperiodic",-1.15615615615616,0.0394782148066597,0.0394782148066597,0.106068956424731,-0.12207168762919,0.305988664174199,0.448877162560247,0.0220535239979586,0.115706202346056,0.470930686558205,0.265941307801686,0.0182302847372912,0.0333994883849954,0.284171592538977,0.200043649176114,0.653603627948462,0.182249228727739,0.313172817401049,-1.65720536085468,0.284171592538977
"3","2","periodic",-0.812612612612613,-0.807805344549954,-0.807805344549954,0.123136724890329,-0.154330714315709,0.386850137256738,0.141911774098657,0.00131366587313039,0.102183733450322,0.143225439971787,0.204682011900994,-0.0019091081410568,0.0275238829308421,0.202772903759937,-0.0596783291429452,0.340874545593999,0.152645300782903,0.260536939301198,-0.706334215844501,0.202772903759937
"4","2","aperiodic",-0.495495495495495,-0.499280451904369,-0.499280451904369,0.101447566666316,-0.161887208132498,0.405791478150324,0.120791934581915,-0.00347933232816816,0.108187275060209,0.117312602253747,0.235425833011977,0.00575575636283707,0.0294168661935148,0.241181589374814,-0.0877718957934537,0.33631442961362,0.172014078371817,0.287326074926462,-0.486407783271694,0.241181589374814
"5","3","periodic",1.3527027027027,1.35643165282505,1.35643165282505,0.174693408753667,-0.278771642689076,0.698777613488828,-0.523899041759988,-0.01746814306139,0.1330626153393,-0.541367184821378,0.390564443063451,0.0164452800440895,0.0526242908572402,0.407009723107541,-0.767228832452332,-0.245632964944864,0.270977448227211,0.477260877811513,1.33010872734934,0.407009723107541
"6","3","aperiodic",0.956306306306307,0.959585796513958,0.959585796513958,0.209472695501725,-0.209473731972527,0.52507332921095,-0.503852908839124,-0.0162267333804146,0.148856757836799,-0.520079642219539,0.52507332921095,0.0168866410537934,0.0689446327655022,0.541959970264743,-0.779380059674237,-0.195872291243183,0.373057691009432,0.64331568530488,0.959627409318597,0.541959970264743
"7","4","periodic",1.11651651651652,2.26555049169577,2.26555049169577,0.110714152432921,-0.127467897983752,0.319514971789528,-0.1403651364171,-0.0074637952869073,0.112713961430685,-0.147828931704008,0.258615860604138,0.0103597757405525,0.0326647861858975,0.26897563634469,-0.353816646089172,0.0880139638287865,0.184234280376525,0.312277889350646,0.549599709895531,0.26897563634469
"8","4","aperiodic",2.29249249249249,2.98083888769041,2.98083888769041,0.185748308906642,-0.213995678559377,0.536408180251763,-0.780553313427082,-0.0156770475825464,0.20865920651882,-0.796230361009628,0.424056920409632,0.00425740744137065,0.0678494065897914,0.428314327851003,-1.17384079566413,-0.355911736024942,0.286817119679856,0.552781906256667,1.85898605121287,0.428314327851003
"9","5","periodic",-0.29487987987988,-0.297302389206517,-0.297302389206517,0.303595518808682,-0.380526063396487,0.953838388602033,0.0949432574257558,-0.0031611694390199,0.12137932734063,0.0917820879867359,0.290792583427352,0.0147057471500098,0.0430969300527945,0.305498330577362,-0.139794683190556,0.336003536920108,0.191618405529623,0.360555267025061,-0.300434008307923,0.305498330577362
"10","5","aperiodic",0.323648648648649,0.326535657674748,0.326535657674748,0.102292883790112,-0.102293036622483,0.256410886408943,-0.0837272974285095,-0.0041025764792159,0.114154216576082,-0.0878298739077254,0.256410886408943,0.00635532302630487,0.0309930040836613,0.262766209435248,-0.3033628741218,0.144113432223213,0.189310391605959,0.310800735159317,0.334251021455515,0.262766209435248
